2013-December-05_7_1,we need to take our religion more seriously  islam is not something that we use to fill in the spiritual compartment of our life while we leave everything else to our whims and desires  islam should rule over every aspect of our life
2013-December-05_7_2,if the intentions of the muslim are good and for the sake of allah then he is a shaheed whether he died by the enemy or by his own hands  it is the intention that counts  bothers and sisters whether you agree or not with martyrdom operations let s leave our differences behind us  and let us support our muslim brothers who are in the frontlines  just like we disagree on many other issues  we should not let our disagreements stand in the way of our solidarity in the face of our adversaries
2013-December-05_7_3,courage does not decrease your life and cowardice does not increase it  no matter how courageous you are  that is not going to decrease your life  and no matter how much fear you have  that is not going to increase your life  if a mo min reaches the level of yaqeen where he realizes that his death is at an appointed time and nothing can stop it  he will be very courageous  he will fear nothing  he will see all the enemies of allah as just mere creatures that are controlled by allah  so why fear them
2013-December-05_7_4,the war broke out     if you  muslim men  are not going to be chivalrous knights in this war  fursan al harb   make way for women to wage it    yes  by god  men have lost their manhood
2013-December-22_6_15,heartz unspoken  as regards to the wife  then her status and her effect in making the soul tranquil and serene  has been clearly shown in the noble ayah  verse   in his   the most high s saying  and from amongst his signs is this  that he created from you wives from amongst yourselves  so that you may find    as regards to the wife  then her status and her effect in making the soul tranquil and serene  has been clearly shown in the noble ayah  verse   in his   the most high s saying  and from amongst his signs is this  that he created from you wives from amongst yourselves  so that you may find
2013-December-30_6_14,bintladen deactivated         asked  yaaaniii hows your arabic is it okay loooool yaniiii its ok   i love you fillah
2013-November-01_13_1,it s actually beautiful how something one of the salaf said years and years ago can have a huge impact on us now  their advice is golden
2013-November-01_13_2,in this world the believer is like the stranger  he does not become upset when it degrades humiliates him  nor does he compete with others in chasing after its grandeur  for the people are in one state and his is in a totally different state
2013-November-01_13_3,so occupy yourself exclusively with the hereafter  and empty your heart of all other thoughts  once you have done that  work hard  do not waste time  and flee from the world and its temptations  travel to the hereafter  with your worship  before you are taken there    i have indeed given you the same advice that i gave myself
2013-November-01_13_4,when a door leading to good is opened up for one of you then he should hasten to it because you don t know when it will be shut
2013-November-01_13_5, our lord  let not our hearts deviate  from the truth  after you have guided us  and grant us mercy from you  truly  you are the bestower
2013-November-01_13_6,heartz unspoken   brief english translation of the main points  many previous experiences of jihad achieved a considerable level of success and then the accumulation of mistakes led to setbacks  in the previous experiences  there were always some who underestimated the divisions and then the painful     brief english translation of the main points  many previous experiences of jihad achieved a considerable level of success and then the accumulation of mistakes led to setbacks  in the previous experiences  there were always some who underestimated the divisions and then the painful
2013-November-01_13_8,abumusaa  i don t understand this phenomenon i ve come across on social media  among the  practising muslims   yes  i know i don t like this term as well but this is the sad state we are in   you will find us tweeting about jihad  khilafah  taking back al quds and all the rest of it  major goals    i don t understand this phenomenon i ve come across on social media  among the  practising muslims   yes  i know i don t like this term as well but this is the sad state we are in   you will find us tweeting about jihad  khilafah  taking back al quds and all the rest of it  major goals
2013-November-02_12_11,a promise from allah which many of us overlook out of despair is that  surely after difficulty there is ease   do not ever feel neglected from the most merciful  surely he tests only those whom he loves  and there s nothing more blessed than knowing allah loves you
2013-November-02_12_12,all praise and thanks are only for allah in all circumstances
2013-November-02_12_13,daughterofaslave    shaykh abu muhammad al maqdisi  may allah keep him steadfast and hasten his release    shaykh abu muhammad al maqdisi  may allah keep him steadfast and hasten his release
2013-November-02_12_14,islam      you might be looked down upon by those around you  be ridiculed  considered strange  feel left out  you might feel misunderstood  having no friends  and nobody to talk with  you might be constantly tested with trials in your health  wealth  and work school  perhaps it might seem as if the whole    you might be looked down upon by those around you  be ridiculed  considered strange  feel left out  you might feel misunderstood  having no friends  and nobody to talk with  you might be constantly tested with trials in your health  wealth  and work school  perhaps it might seem as if the whole
2013-November-02_12_15,anonymous asked  why do you call rabee a innovator  imam albani called him the inam of jarh watadeeel ansarul tawheed deactivated      i didn t call him an innovator  i call him a scholar of sultan  i call him someone who has brought nothing but division and unity to salafiyyah all under the guise of  protecting  the sunnah  no one is safe from that tongue of his  never the less  i don t have anything personal against him  a general praise  sheikh al albani  also praised many others  sheikh ibn jibreen said his words are not acceptable in jarh wa ta dil  and for sure  i would take nothing from his jarh  as all of his criticisms sprout from someone that he used to percieve being upon the  salafi manhaj   then once they differed  he threw them off the manhaj and declared them innovators  just like falah isma eel  abu hasan al ma ribi  yahya al hajoree  and alhamdulillah his ways was exposed by a student of his  abdullah al farsi his blind followers remind me that they are probably innovators themselves according to this statement of ibn taymiyyah  ibn taymiyyah said   whoever raises any individual other than the messenger of allah  to the point that whoever loves him and agrees with him is from ahlus sunnah wal jama ah  and whoever opposes him is from the people of innovation  i e  ahlul bid ah  and deviant sects  as you find with many of those who claim to follow the four imams  e g  abu haneefah  malik  sha fiee  and ahmad  in their speech about the religion and other than this  then he  himself  is from the people of innovation  deviation and division    found in his explanation of hadeeth iftiraaq pg     i didn t call him an innovator  i call him a scholar of sultan  i call him someone who has brought nothing but division and unity to salafiyyah all under the guise of  protecting  the sunnah  no one is safe from that tongue of his  never the less  i don t have anything personal against him  a general praise  sheikh al albani  also praised many others  sheikh ibn jibreen said his words are not acceptable in jarh wa ta dil  and for sure  i would take nothing from his jarh  as all of his criticisms sprout from someone that he used to percieve being upon the  salafi manhaj   then once they differed  he threw them off the manhaj and declared them innovators  just like falah isma eel  abu hasan al ma ribi  yahya al hajoree  and alhamdulillah his ways was exposed by a student of his  abdullah al farsi his blind followers remind me that they are probably innovators themselves according to this statement of ibn taymiyyah  ibn taymiyyah said   whoever raises any individual other than the messenger of allah  to the point that whoever loves him and agrees with him is from ahlus sunnah wal jama ah  and whoever opposes him is from the people of innovation  i e  ahlul bid ah  and deviant sects  as you find with many of those who claim to follow the four imams  e g  abu haneefah  malik  sha fiee  and ahmad  in their speech about the religion and other than this  then he  himself  is from the people of innovation  deviation and division    found in his explanation of hadeeth iftiraaq pg
2013-November-03_11_15,gharibafisabilillah  talib ul  ilm  student of knowledge  and jihad fi sabilillah  tlb l`lm wljhd fy sbyl llh inseparable in the heart of the believer lyftrqn fy qlb mw mn  jabhat al nusrah  talib ul  ilm  student of knowledge  and jihad fi sabilillah  tlb l`lm wljhd fy sbyl llh inseparable in the heart of the believer lyftrqn fy qlb mw mn  jabhat al nusrah
2013-November-03_12_1,the prophet  saw  said   woman was created from a bent rib  if you want to enjoy her  you enjoy her while she is still bent  if you will try to straighten her  you will break her    sahih al bukhari  sahih muslim  and a beautiful quote   a women came out of the rib of man not his feet to be walked on nor his head to be superior over she came from his side to be his companion under his arm to be protected and next to his heart to be be loved    a women came out of the rib of man not his feet to be walked on nor his head to be superior over she came from his side to be his companion under his arm to be protected and next to his heart to be be loved
2013-November-03_12_10,a decision made in haste and emotions can lead to years of regret and heartbreak  always tie your camel before claiming tawakul  the caravan may be moving but that does not mean you don t use your aql  verily allah helps those who do a deed sincerely and in accordance to the quran and sunnah
2013-November-03_12_2,with regards to those who claim salafiyyah yet are quick to criticise their brothers from the du aat  callers    ali al tamimi  may allaah release him  beautifully says  truly this group is as they have been described  they are khawarij with regards to the du at  preachers   murji a with regards to the rulers  rafida with regards to the jamaa at  islamic groups   and qadariya with regards to the jews  christians  and infidels  i ask my brothers and sisters who have fallen into this fitna that they reconsider some of their positions and repent from these astray beliefs  i also request of my brothers and sisters who have been preserved from this fitna not to rejoice at the error of their brethren but rather to thank allah for guiding them and use this opportunity to wisely and gently bring our brothers back to the truth  let us not forget that the overwhelming majority of these brothers sisters remain staunch supporters of tawhid and sunna who have been deluded into this fitna thinking that they are defending allah s religion  while in reality they are only defending a throne which cares less for them or their leaders  may allah forgive us our transgressions and bring us to his truth gently  truly this group is as they have been described  they are khawarij with regards to the du at  preachers   murji a with regards to the rulers  rafida with regards to the jamaa at  islamic groups   and qadariya with regards to the jews  christians  and infidels  i ask my brothers and sisters who have fallen into this fitna that they reconsider some of their positions and repent from these astray beliefs  i also request of my brothers and sisters who have been preserved from this fitna not to rejoice at the error of their brethren but rather to thank allah for guiding them and use this opportunity to wisely and gently bring our brothers back to the truth  let us not forget that the overwhelming majority of these brothers sisters remain staunch supporters of tawhid and sunna who have been deluded into this fitna thinking that they are defending allah s religion  while in reality they are only defending a throne which cares less for them or their leaders  may allah forgive us our transgressions and bring us to his truth gently   source  a letter written by  ali al tamimi on islamicawakening
